ShortName,Variable,LongName,Source
P9,APAC.FOS.BREW.FM.UT075.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT074.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT073.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT072.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT071.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT070.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT069.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT068.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT067.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT066.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT065.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT064.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT063.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT062.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT061.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT060.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT059.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT058.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT057.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT056.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT055.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT054.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT053.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT052.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT051.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT050.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT049.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT048.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT047.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT046.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT045.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT044.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT043.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT042.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT041.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT040.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT039.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT038.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT037.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT036.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT035.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT034.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT033.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT032.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT031.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT030.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT029.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT028.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT027.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT026.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT025.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT024.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT023.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT022.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT021.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT020.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT019.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT018.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT017.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT016.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT015.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT014.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT013.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT012.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT011.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT010.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT009.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT008.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT007.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT006.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT005.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT004.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT003.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT002.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT001.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT130.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT129.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT128.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT127.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT126.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT125.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT124.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT123.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT122.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT121.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT120.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT119.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT118.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT117.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT116.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT115.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT114.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT113.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT112.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT111.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT110.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT109.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT108.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT107.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT106.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT105.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT104.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT103.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT102.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT101.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT095.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT094.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT093.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT092.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT091.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT090.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT089.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT088.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT087.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT086.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT085.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT084.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT083.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT082.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT081.PI08,TSM,Historian
